City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,pires do rio,-17.2997,-48.2794,33.25,25,81,3.13,BR,1694971309
242,villa gesell,-37.2639,-56.973,12.25,56,100,6.41,AR,1694971309
243,ghat,24.9647,10.1728,33.36,8,0,3.81,LY,1694971309
244,gaspar,-26.9314,-48.9589,36.42,54,0,0.74,BR,1694971309
245,essaouira,31.5125,-9.77,24.72,60,75,5.66,MA,1694971310
246,aydincik,36.1437,33.3202,27.57,41,0,3.98,TR,1694971310
247,lebu,-37.6167,-73.65,10.48,58,5,3.95,CL,1694971310
248,port augusta,-32.5,137.7667,19.22,21,6,2.75,AU,1694971311
249,boulazac,45.1167,0.75,19.84,81,100,3.46,FR,1694971311
250,kargat,55.1956,80.2811,14.28,78,100,1.47,RU,1694971311
251,arno,60.1167,18.6333,12.66,61,77,2.35,SE,1694971311
252,hammerfest,70.6634,23.6821,6.25,81,75,7.72,NO,1694971312
253,malindi,-3.2175,40.1191,25.09,78,40,5.14,KE,1694971312
254,pisco,-13.7,-76.2167,21.03,68,0,5.66,PE,1694971312
255,cajuru,-21.2753,-47.3042,35.56,20,59,1.09,BR,1694971312
256,kerikeri,-35.2268,173.9474,11.06,91,6,0.45,NZ,1694971313
257,sirte,31.2089,16.5887,26.23,63,0,5.45,LY,1694971313
258,severo-yeniseyskiy,60.3725,93.0408,11.84,73,100,0.34,RU,1694971292
259,coquimbo,-29.9533,-71.3436,15.85,77,75,6.17,CL,1694971313
260,novoul'yanovsk,54.1496,48.3891,13.47,54,0,2.37,RU,1694971313
261,holualoa,19.6228,-155.9522,22.65,81,20,2.06,US,1694971314
262,benavente,42.0025,-5.6783,17.03,62,81,7.6,ES,1694971314
263,choibalsan,48.0667,114.5,6.43,86,99,1.76,MN,1694971314
264,hondo,32.45,130.2,25.63,86,91,2.35,JP,1694971314
265,happy valley-goose bay,53.3168,-60.3315,12.17,94,100,8.75,CA,1694971315
266,smidovich,48.6,133.8167,12.71,85,37,1.81,RU,1694971315
267,taulaga,-11.0553,-171.0883,28.02,80,82,8.59,AS,1694971247
268,mahina,-17.5065,-149.489,24.87,78,75,3.09,PF,1694971315
269,alice springs,-23.7,133.8833,14.75,26,0,0.0,AU,1694971158
270,susuman,62.7833,148.1667,-1.07,86,78,1.5,RU,1694971316
271,huarmey,-10.0681,-78.1522,22.28,75,69,4.54,PE,1694971316
272,mejit,10.2753,170.8646,28.41,81,100,9.15,MH,1694971316
273,negapatam,10.7667,79.8333,26.32,88,70,7.73,IN,1694971317
274,madinat sittah uktubar,29.8167,31.05,31.78,29,0,9.03,EG,1694971317
275,plettenberg bay,-34.0527,23.3716,12.31,75,4,1.84,ZA,1694971317
276,fort mcmurray,56.7268,-111.381,18.73,48,0,5.14,CA,1694971318
277,arraial do cabo,-22.9661,-42.0278,29.98,61,0,8.75,BR,1694971318
278,marsh harbour,26.5412,-77.0636,29.45,64,4,3.44,BS,1694971318
279,kemijarvi,66.7131,27.4306,6.24,94,94,5.45,FI,1694971318
280,saint-joseph,-21.3667,55.6167,22.21,78,30,4.53,RE,1694971319
281,tadine,-21.55,167.8833,20.7,87,60,6.94,NC,1694971319
282,onega,63.9061,38.1404,10.8,89,100,5.12,RU,1694971319
283,vuktyl,63.8567,57.3094,7.98,93,100,1.0,RU,1694971319
284,kavieng,-2.5744,150.7967,26.68,77,11,4.76,PG,1694971320
285,al kawa,13.7463,32.4996,31.06,39,81,7.77,SD,1694971320
286,kourou,5.1552,-52.6478,33.03,54,81,5.72,GF,1694971320
287,nanao,37.05,136.9667,26.29,89,35,1.44,JP,1694971320
288,hakui,36.8833,136.7833,27.05,88,30,0.84,JP,1694971321
289,ulsteinvik,62.3432,5.8487,14.95,75,79,1.34,NO,1694971321
290,mindelo,16.8901,-24.9804,29.75,45,20,10.8,CV,1694971321
291,lazarevac,44.3853,20.2557,22.91,58,41,4.15,RS,1694971321
292,maribondo,-9.5772,-36.3053,27.48,62,77,6.11,BR,1694971322
293,rio claro,-22.4114,-47.5614,34.66,37,0,0.81,BR,1694971322
294,mansourah,31.0364,31.3807,23.97,69,0,3.22,EG,1694971322
295,klyuchi,52.2667,79.1667,14.3,70,54,1.96,RU,1694971272
296,los frentones,-26.4077,-61.4137,39.75,18,0,5.76,AR,1694971323
297,georgetown,5.4112,100.3354,28.3,89,20,1.54,MY,1694971116
298,rocha,-34.4833,-54.3333,16.45,82,41,5.77,UY,1694971323
299,morehead city,34.7229,-76.726,28.35,67,43,4.02,US,1694971041
300,magadan,59.5667,150.8,5.85,75,42,4.21,RU,1694971324
301,inhambane,-23.865,35.3833,22.99,68,75,8.23,MZ,1694971324
302,enewetak,11.3474,162.3373,28.88,79,91,6.82,MH,1694971277
303,frosinone,41.6167,13.45,26.34,70,95,1.88,IT,1694971325
304,banisilan,7.4908,124.7242,21.97,96,97,0.7,PH,1694971325
305,zaozersk,69.4005,32.4476,6.76,92,100,4.13,RU,1694971325
306,egilsstadir,65.2653,-14.3948,11.95,82,100,1.54,IS,1694971326
307,itapissuma,-7.7764,-34.8922,28.02,63,35,5.89,BR,1694971326
308,semey,50.4111,80.2275,15.89,63,47,2.49,KZ,1694971326
309,nova vicosa,-17.8919,-39.3719,26.77,61,25,4.89,BR,1694971298
310,usogorsk,63.4106,48.6872,9.65,94,100,2.4,RU,1694971327
311,fort bragg,35.139,-79.006,25.75,68,100,3.09,US,1694971327
312,uturoa,-16.7333,-151.4333,25.64,81,7,4.17,PF,1694971194
313,sretensk,52.2453,117.7093,8.68,97,100,1.31,RU,1694971327
314,soio,-6.1349,12.3689,24.31,82,95,2.94,AO,1694971328
315,kapuskasing,49.4169,-82.4331,10.05,93,100,4.12,CA,1694971328
316,sola,-13.8833,167.55,25.58,80,78,8.34,VU,1694971328
317,crixas,-14.5489,-49.9692,39.11,19,13,4.34,BR,1694971328
318,luau,-10.7073,22.2247,31.38,18,67,2.3,AO,1694971328
319,lakatoro,-16.0999,167.4164,23.75,84,31,4.52,VU,1694971329
320,the pas,53.8251,-101.2541,18.01,63,75,6.17,CA,1694971329
321,alvear,-29.0968,-56.5504,31.46,56,0,7.84,AR,1694971329
322,tralee,52.2704,-9.7026,15.14,94,100,3.09,IE,1694971329
323,isale,6.6979,3.1421,25.89,81,98,3.23,NG,1694971330
324,cannonvale,-20.2833,148.7,20.66,81,17,6.13,AU,1694971330
325,masuguru,-11.3667,38.4167,30.53,34,9,3.43,TZ,1694971330
326,mgandu,-5.95,34.1333,25.03,24,79,2.91,TZ,1694971331
327,rongelap,11.1635,166.8941,28.85,80,100,8.39,MH,1694971277
328,nampula,-15.1165,39.2666,25.97,53,0,6.17,MZ,1694971156
329,vilyuysk,63.7553,121.6247,0.62,98,100,5.08,RU,1694971331
330,kapadvanj,23.0167,73.0667,24.88,96,100,6.29,IN,1694971332
331,nizhnesortymskiy,62.4397,71.7603,13.83,70,64,5.57,RU,1694971332
332,posto fiscal rolim de moura,-13.0833,-62.2667,41.09,18,4,2.93,BR,1694971332
333,zhangjiakou shi xuanhua qu,40.6103,115.0447,17.97,83,29,1.02,CN,1694971332
334,hawera,-39.5917,174.2833,12.84,83,69,8.51,NZ,1694971205
